AreaCD	Area
023121	ISABELA
023122	ISABELA
023123	ISABELA
023124	ISABELA
023125	ISABELA
023126	ISABELA
023127	ISABELA
023128	ISABELA
023129	ISABELA
023130	ISABELA
023131	ISABELA
023132	ISABELA
023133	ISABELA
023134	ISABELA
023135	ISABELA
023136	ISABELA
023137	ISABELA
0250	REGION II (CAGAYAN VALLEY)
025001	NUEVA VIZCAYA
025002	NUEVA VIZCAYA
025003	NUEVA VIZCAYA
025004	NUEVA VIZCAYA
025005	NUEVA VIZCAYA
025006	NUEVA VIZCAYA
025007	NUEVA VIZCAYA
025008	NUEVA VIZCAYA
025009	NUEVA VIZCAYA
025010	NUEVA VIZCAYA
025011	NUEVA VIZCAYA
025012	NUEVA VIZCAYA
025013	NUEVA VIZCAYA
025014	NUEVA VIZCAYA
025015	NUEVA VIZCAYA
0257	REGION II (CAGAYAN VALLEY)
025701	QUIRINO
025702	QUIRINO
025703	QUIRINO
025704	QUIRINO
025705	QUIRINO
025706	QUIRINO
03	REGION 3
0308	REGION III (CENTRAL LUZON)
030801	BATAAN
030802	BATAAN
030803	BATAAN
030804	BATAAN
030805	BATAAN
030806	BATAAN
030807	BATAAN
030808	BATAAN
030809	BATAAN
030810	BATAAN
030811	BATAAN
030812	BATAAN
0314	REGION III (CENTRAL LUZON)
031401	BULACAN
031402	BULACAN
031403	BULACAN
031404	BULACAN
031405	BULACAN
031406	BULACAN
031407	BULACAN
031408	BULACAN
031409	BULACAN
031410	BULACAN
031411	BULACAN
031412	BULACAN
031413	BULACAN
031414	BULACAN
031415	BULACAN
031416	BULACAN
031417	BULACAN
031418	BULACAN
031419	BULACAN
031420	BULACAN
031421	BULACAN
031422	BULACAN
031423	BULACAN
031424	BULACAN
0349	REGION III (CENTRAL LUZON)
034901	NUEVA ECIJA
034902	NUEVA ECIJA
034903	NUEVA ECIJA
034904	NUEVA ECIJA
034905	NUEVA ECIJA
034906	NUEVA ECIJA
034907	NUEVA ECIJA
034908	NUEVA ECIJA
034909	NUEVA ECIJA
034910	NUEVA ECIJA
034911	NUEVA ECIJA
034912	NUEVA ECIJA
034913	NUEVA ECIJA
034914	NUEVA ECIJA
034915	NUEVA ECIJA
034916	NUEVA ECIJA
034917	NUEVA ECIJA
034918	NUEVA ECIJA
034919	NUEVA ECIJA
034920	NUEVA ECIJA
034921	NUEVA ECIJA
034922	NUEVA ECIJA
034923	NUEVA ECIJA
034924	NUEVA ECIJA
034925	NUEVA ECIJA
034926	NUEVA ECIJA
034927	NUEVA ECIJA
034928	NUEVA ECIJA
034929	NUEVA ECIJA
034930	NUEVA ECIJA
034931	NUEVA ECIJA
034932	NUEVA ECIJA
0354	REGION III (CENTRAL LUZON)
035401	PAMPANGA
035402	PAMPANGA
035403	PAMPANGA
035404	PAMPANGA
035405	PAMPANGA
035406	PAMPANGA
035407	PAMPANGA
035408	PAMPANGA
035409	PAMPANGA
035410	PAMPANGA
035411	PAMPANGA
035412	PAMPANGA
035413	PAMPANGA
035414	PAMPANGA
035415	PAMPANGA
035416	PAMPANGA
035417	PAMPANGA
035418	PAMPANGA
035419	PAMPANGA
035420	PAMPANGA
035421	PAMPANGA
035422	PAMPANGA
0369	REGION III (CENTRAL LUZON)
036901	TARLAC
036902	TARLAC
036903	TARLAC
036904	TARLAC
036905	TARLAC
036906	TARLAC
036907	TARLAC
036908	TARLAC
036909	TARLAC
036910	TARLAC
036911	TARLAC
036912	TARLAC
036913	TARLAC
036914	TARLAC
036915	TARLAC
036916	TARLAC
036917	TARLAC
036918	TARLAC
0371	REGION III (CENTRAL LUZON)
037101	ZAMBALES
037102	ZAMBALES
037103	ZAMBALES
037104	ZAMBALES
037105	ZAMBALES
037106	ZAMBALES
037107	ZAMBALES
037108	ZAMBALES
037109	ZAMBALES
037110	ZAMBALES
037111	ZAMBALES
037112	ZAMBALES
037113	ZAMBALES
037114	ZAMBALES
0377	REGION III (CENTRAL LUZON)
037701	AURORA
037702	AURORA
037703	AURORA
037704	AURORA
037705	AURORA
037706	AURORA
037707	AURORA
037708	AURORA
04	REGION 4A
0410	REGION IV-A (CALABARZON)
041001	BATANGAS
041002	BATANGAS
041003	BATANGAS
041004	BATANGAS
041005	BATANGAS
041006	BATANGAS
041007	BATANGAS
041008	BATANGAS
041009	BATANGAS
041010	BATANGAS
041011	BATANGAS
041012	BATANGAS
041013	BATANGAS
041014	BATANGAS
041015	BATANGAS
041016	BATANGAS
041017	BATANGAS
041018	BATANGAS
041019	BATANGAS
041020	BATANGAS
041021	BATANGAS
041022	BATANGAS
041023	BATANGAS
041024	BATANGAS
041025	BATANGAS
041026	BATANGAS
041027	BATANGAS
041028	BATANGAS
041029	BATANGAS
041030	BATANGAS
041031	BATANGAS
041032	BATANGAS
041033	BATANGAS
041034	BATANGAS
0421	REGION IV-A (CALABARZON)
042101	CAVITE
042102	CAVITE
042103	CAVITE
042104	CAVITE
042105	CAVITE
042106	CAVITE
042107	CAVITE
042108	CAVITE
042109	CAVITE
042110	CAVITE
042111	CAVITE
042112	CAVITE
042113	CAVITE
042114	CAVITE
042115	CAVITE
042116	CAVITE
042117	CAVITE
042118	CAVITE
042119	CAVITE
042120	CAVITE
042121	CAVITE
042122	CAVITE
042123	CAVITE
0434	REGION IV-A (CALABARZON)
043401	LAGUNA
043402	LAGUNA
043403	LAGUNA
043404	LAGUNA
043405	LAGUNA
043406	LAGUNA
043407	LAGUNA
043408	LAGUNA
043409	LAGUNA
043410	LAGUNA
043411	LAGUNA
043412	LAGUNA
043413	LAGUNA
043414	LAGUNA
043415	LAGUNA
043416	LAGUNA
043417	LAGUNA
043418	LAGUNA
043419	LAGUNA
043420	LAGUNA
043421	LAGUNA
043422	LAGUNA
043423	LAGUNA
043424	LAGUNA
043425	LAGUNA
043426	LAGUNA
043427	LAGUNA
043428	LAGUNA
043429	LAGUNA
043430	LAGUNA
0456	REGION IV-A (CALABARZON)
045601	QUEZON
045602	QUEZON
045603	QUEZON
045605	QUEZON
045606	QUEZON
045607	QUEZON
045608	QUEZON
045610	QUEZON
045615	QUEZON
045616	QUEZON
045617	QUEZON
045618	QUEZON
045619	QUEZON
045620	QUEZON
045621	QUEZON
045622	QUEZON
045623	QUEZON
045624	QUEZON
045625	QUEZON
045627	QUEZON
045628	QUEZON
045629	QUEZON
045630	QUEZON
045631	QUEZON
045632	QUEZON
045633	QUEZON
045634	QUEZON
045635	QUEZON
045636	QUEZON
045637	QUEZON
045638	QUEZON
045639	QUEZON
045640	QUEZON
045641	QUEZON
045642	QUEZON
045644	QUEZON
045645	QUEZON
045646	QUEZON
045647	QUEZON
045648	QUEZON
045649	QUEZON
0458	REGION IV-A (CALABARZON)
045801	RIZAL
045802	RIZAL
045803	RIZAL
045804	RIZAL
045805	RIZAL
045806	RIZAL
045807	RIZAL
045808	RIZAL
045809	RIZAL
045810	RIZAL
045811	RIZAL
045812	RIZAL
045813	RIZAL
045814	RIZAL
05	REGION 5
0505	REGION V (BICOL REGION)
050501	ALBAY
050502	ALBAY
050503	ALBAY
050504	ALBAY
050505	ALBAY
050506	ALBAY
050507	ALBAY
050508	ALBAY
050509	ALBAY
050510	ALBAY
050511	ALBAY
050512	ALBAY
050513	ALBAY
050514	ALBAY
050515	ALBAY
050516	ALBAY
050517	ALBAY
050518	ALBAY
0516	REGION V (BICOL REGION)
051601	CAMARINES NORTE
051602	CAMARINES NORTE
051603	CAMARINES NORTE
051604	CAMARINES NORTE
051605	CAMARINES NORTE
051606	CAMARINES NORTE
051607	CAMARINES NORTE
051608	CAMARINES NORTE
051609	CAMARINES NORTE
051610	CAMARINES NORTE
051611	CAMARINES NORTE
051612	CAMARINES NORTE
0517	REGION V (BICOL REGION)
051701	CAMARINES SUR
051702	CAMARINES SUR
051703	CAMARINES SUR
051704	CAMARINES SUR
051705	CAMARINES SUR
051706	CAMARINES SUR
051707	CAMARINES SUR
051708	CAMARINES SUR
051709	CAMARINES SUR
051710	CAMARINES SUR
051711	CAMARINES SUR
051712	CAMARINES SUR
051713	CAMARINES SUR
051714	CAMARINES SUR
051715	CAMARINES SUR
051716	CAMARINES SUR
051717	CAMARINES SUR
051718	CAMARINES SUR
051719	CAMARINES SUR
051720	CAMARINES SUR
051721	CAMARINES SUR
051722	CAMARINES SUR
051723	CAMARINES SUR
051724	CAMARINES SUR
051725	CAMARINES SUR
051726	CAMARINES SUR
051727	CAMARINES SUR
051728	CAMARINES SUR
051729	CAMARINES SUR
051730	CAMARINES SUR
051731	CAMARINES SUR
051732	CAMARINES SUR
051733	CAMARINES SUR
051734	CAMARINES SUR
051735	CAMARINES SUR
051736	CAMARINES SUR
051737	CAMARINES SUR
0520	REGION V (BICOL REGION)
052001	CATANDUANES
052002	CATANDUANES
052003	CATANDUANES
052004	CATANDUANES
052005	CATANDUANES
052006	CATANDUANES
052007	CATANDUANES
052008	CATANDUANES
052009	CATANDUANES
052010	CATANDUANES
052011	CATANDUANES
0541	REGION V (BICOL REGION)
054101	MASBATE
054102	MASBATE
054103	MASBATE
054104	MASBATE
054105	MASBATE
054106	MASBATE
054107	MASBATE
054108	MASBATE
054109	MASBATE
054110	MASBATE
054111	MASBATE
054112	MASBATE
054113	MASBATE
054114	MASBATE
054115	MASBATE
054116	MASBATE
054117	MASBATE
054118	MASBATE
054119	MASBATE
054120	MASBATE
054121	MASBATE
0562	REGION V (BICOL REGION)
056202	SORSOGON
056203	SORSOGON
056204	SORSOGON
056205	SORSOGON
056206	SORSOGON
056207	SORSOGON
056208	SORSOGON
056209	SORSOGON
056210	SORSOGON
056211	SORSOGON
056212	SORSOGON
056213	SORSOGON
056214	SORSOGON
056215	SORSOGON
056216	SORSOGON
06	REGION 6
0604	REGION VI (WESTERN VISAYAS)
060401	AKLAN
060402	AKLAN
060403	AKLAN
060404	AKLAN
060405	AKLAN
060406	AKLAN
060407	AKLAN
060408	AKLAN
060409	AKLAN
060410	AKLAN
060411	AKLAN
060412	AKLAN
060413	AKLAN
060414	AKLAN
060415	AKLAN
060416	AKLAN
060417	AKLAN
0606	REGION VI (WESTERN VISAYAS)
060601	ANTIQUE
060602	ANTIQUE
060603	ANTIQUE
060604	ANTIQUE
060605	ANTIQUE
060606	ANTIQUE
060607	ANTIQUE
060608	ANTIQUE
060609	ANTIQUE
060610	ANTIQUE
060611	ANTIQUE
060612	ANTIQUE
060613	ANTIQUE
060614	ANTIQUE
060615	ANTIQUE
060616	ANTIQUE
060617	ANTIQUE
060618	ANTIQUE
0619	REGION VI (WESTERN VISAYAS)
061901	CAPIZ
061902	CAPIZ
061903	CAPIZ
061904	CAPIZ
061905	CAPIZ
061906	CAPIZ
061907	CAPIZ
061908	CAPIZ
061909	CAPIZ
061910	CAPIZ
061911	CAPIZ
061912	CAPIZ
061913	CAPIZ
061914	CAPIZ
061915	CAPIZ
061916	CAPIZ
061917	CAPIZ
0630	REGION VI (WESTERN VISAYAS)
063001	ILOILO
063002	ILOILO
063003	ILOILO
063004	ILOILO
063005	ILOILO
063006	ILOILO
063007	ILOILO
063008	ILOILO
063009	ILOILO
063010	ILOILO
063012	ILOILO
063013	ILOILO
063014	ILOILO
063015	ILOILO
063016	ILOILO
063017	ILOILO
063018	ILOILO
063019	ILOILO
063020	ILOILO
063021	ILOILO
063022	ILOILO
063023	ILOILO
063025	ILOILO
063026	ILOILO
063027	ILOILO
063028	ILOILO
063029	ILOILO
063030	ILOILO
063031	ILOILO
063032	ILOILO
063034	ILOILO
063035	ILOILO
063036	ILOILO
063037	ILOILO
063038	ILOILO
063039	ILOILO
063040	ILOILO
063041	ILOILO
063042	ILOILO
063043	ILOILO
063044	ILOILO
063045	ILOILO
063046	ILOILO
063047	ILOILO
0645	REGION VI (WESTERN VISAYAS)
064501	NEGROS OCCIDENTAL
064502	NEGROS OCCIDENTAL
064503	NEGROS OCCIDENTAL
064504	NEGROS OCCIDENTAL
064505	NEGROS OCCIDENTAL
064506	NEGROS OCCIDENTAL
064507	NEGROS OCCIDENTAL
064508	NEGROS OCCIDENTAL
064509	NEGROS OCCIDENTAL
064510	NEGROS OCCIDENTAL
064511	NEGROS OCCIDENTAL
064512	NEGROS OCCIDENTAL
064513	NEGROS OCCIDENTAL
064514	NEGROS OCCIDENTAL
064515	NEGROS OCCIDENTAL
064516	NEGROS OCCIDENTAL
064517	NEGROS OCCIDENTAL
064518	NEGROS OCCIDENTAL
064519	NEGROS OCCIDENTAL
064520	NEGROS OCCIDENTAL
064521	NEGROS OCCIDENTAL
064522	NEGROS OCCIDENTAL
064523	NEGROS OCCIDENTAL
064524	NEGROS OCCIDENTAL
064525	NEGROS OCCIDENTAL
064526	NEGROS OCCIDENTAL
064527	NEGROS OCCIDENTAL
064528	NEGROS OCCIDENTAL
064529	NEGROS OCCIDENTAL
064530	NEGROS OCCIDENTAL
064531	NEGROS OCCIDENTAL
064532	NEGROS OCCIDENTAL
0679	REGION VI (WESTERN VISAYAS)
067901	GUIMARAS
067902	GUIMARAS
067903	GUIMARAS
067904	GUIMARAS
067905	GUIMARAS
07	REGION 7
0712	REGION VII (CENTRAL VISAYAS)
071201	BOHOL
071202	BOHOL
071203	BOHOL
071204	BOHOL
071205	BOHOL
071206	BOHOL
071207	BOHOL
071208	BOHOL
071209	BOHOL
071210	BOHOL
071211	BOHOL
071212	BOHOL
071213	BOHOL
071214	BOHOL
071215	BOHOL
071216	BOHOL
071217	BOHOL
071218	BOHOL
071219	BOHOL
071220	BOHOL
071221	BOHOL
071222	BOHOL
071223	BOHOL
071224	BOHOL
071225	BOHOL
071226	BOHOL
071227	BOHOL
071228	BOHOL
071229	BOHOL
071230	BOHOL
071231	BOHOL
071232	BOHOL
071233	BOHOL
071234	BOHOL
071235	BOHOL
071236	BOHOL
071237	BOHOL
071238	BOHOL
071239	BOHOL
071240	BOHOL
071241	BOHOL
071242	BOHOL
071243	BOHOL
071244	BOHOL
071245	BOHOL
071246	BOHOL
071247	BOHOL
071248	BOHOL
0722	REGION VII (CENTRAL VISAYAS)
072201	CEBU
072202	CEBU
072203	CEBU
072204	CEBU
072205	CEBU
072206	CEBU
072207	CEBU
072208	CEBU
072209	CEBU
072210	CEBU
072211	CEBU
072212	CEBU
072213	CEBU
072214	CEBU
072215	CEBU
072216	CEBU
072217	CEBU
072218	CEBU
072219	CEBU
072220	CEBU
072221	CEBU
072222	CEBU
072223	CEBU
072224	CEBU
072225	CEBU
072226	CEBU
072227	CEBU
072228	CEBU
072229	CEBU
072230	CEBU
072231	CEBU
072232	CEBU
072233	CEBU
072234	CEBU
072235	CEBU
072236	CEBU
072237	CEBU
072238	CEBU
072239	CEBU
072240	CEBU
072241	CEBU
072242	CEBU
072243	CEBU
072244	CEBU
072245	CEBU
072246	CEBU
072247	CEBU
072248	CEBU
072249	CEBU
072250	CEBU
072251	CEBU
072252	CEBU
072253	CEBU
0746	REGION VII (CENTRAL VISAYAS)
074601	NEGROS ORIENTAL
074602	NEGROS ORIENTAL
074603	NEGROS ORIENTAL
074604	NEGROS ORIENTAL
074605	NEGROS ORIENTAL
074606	NEGROS ORIENTAL
074607	NEGROS ORIENTAL
074608	NEGROS ORIENTAL
074609	NEGROS ORIENTAL
074610	NEGROS ORIENTAL
074611	NEGROS ORIENTAL
074612	NEGROS ORIENTAL
074613	NEGROS ORIENTAL
074614	NEGROS ORIENTAL
074615	NEGROS ORIENTAL
074616	NEGROS ORIENTAL
074617	NEGROS ORIENTAL
074618	NEGROS ORIENTAL
074619	NEGROS ORIENTAL
074620	NEGROS ORIENTAL
074621	NEGROS ORIENTAL
074622	NEGROS ORIENTAL
074623	NEGROS ORIENTAL
074624	NEGROS ORIENTAL
074625	NEGROS ORIENTAL
0761	REGION VII (CENTRAL VISAYAS)
076101	SIQUIJOR
076102	SIQUIJOR
076103	SIQUIJOR
076104	SIQUIJOR
076105	SIQUIJOR
076106	SIQUIJOR
08	REGION 8
0826	REGION VIII (EASTERN VISAYAS)
082601	EASTERN SAMAR
082602	EASTERN SAMAR
082603	EASTERN SAMAR
082604	EASTERN SAMAR
082605	EASTERN SAMAR
082606	EASTERN SAMAR
082607	EASTERN SAMAR
082608	EASTERN SAMAR
082609	EASTERN SAMAR
082610	EASTERN SAMAR
082611	EASTERN SAMAR
082612	EASTERN SAMAR
082613	EASTERN SAMAR
082614	EASTERN SAMAR
082615	EASTERN SAMAR
082616	EASTERN SAMAR
082617	EASTERN SAMAR
082618	EASTERN SAMAR
082619	EASTERN SAMAR
082620	EASTERN SAMAR
082621	EASTERN SAMAR
082622	EASTERN SAMAR
082623	EASTERN SAMAR
0837	REGION VIII (EASTERN VISAYAS)
083701	LEYTE
083702	LEYTE
083703	LEYTE
083705	LEYTE
083706	LEYTE
083707	LEYTE
083708	LEYTE
083710	LEYTE
083713	LEYTE
083714	LEYTE
083715	LEYTE
083717	LEYTE
083718	LEYTE
083719	LEYTE
083720	LEYTE
083721	LEYTE
083722	LEYTE
083723	LEYTE
083724	LEYTE
083725	LEYTE
083726	LEYTE
083728	LEYTE
083729	LEYTE
083730	LEYTE
083731	LEYTE
083733	LEYTE
083734	LEYTE
083735	LEYTE
083736	LEYTE
083738	LEYTE
083739	LEYTE
083740	LEYTE
083741	LEYTE
083742	LEYTE
083743	LEYTE
083744	LEYTE
083745	LEYTE
083746	LEYTE
083747	LEYTE
083748	LEYTE
083749	LEYTE
083750	LEYTE
083751	LEYTE
0848	REGION VIII (EASTERN VISAYAS)
084801	NORTHERN SAMAR
084802	NORTHERN SAMAR
084803	NORTHERN SAMAR
084804	NORTHERN SAMAR
084805	NORTHERN SAMAR
084806	NORTHERN SAMAR
084807	NORTHERN SAMAR
084808	NORTHERN SAMAR
084809	NORTHERN SAMAR
084810	NORTHERN SAMAR
084811	NORTHERN SAMAR
084812	NORTHERN SAMAR
084813	NORTHERN SAMAR
084814	NORTHERN SAMAR
084815	NORTHERN SAMAR
084816	NORTHERN SAMAR
084817	NORTHERN SAMAR
084818	NORTHERN SAMAR
084819	NORTHERN SAMAR
084820	NORTHERN SAMAR
084821	NORTHERN SAMAR
084822	NORTHERN SAMAR
084823	NORTHERN SAMAR
084824	NORTHERN SAMAR
0860	REGION VIII (EASTERN VISAYAS)
086001	SAMAR (WESTERN SAMAR)
086002	SAMAR (WESTERN SAMAR)
086003	SAMAR (WESTERN SAMAR)
086004	SAMAR (WESTERN SAMAR)
086005	SAMAR (WESTERN SAMAR)
086006	SAMAR (WESTERN SAMAR)
086007	SAMAR (WESTERN SAMAR)
086008	SAMAR (WESTERN SAMAR)
086009	SAMAR (WESTERN SAMAR)
086010	SAMAR (WESTERN SAMAR)
086011	SAMAR (WESTERN SAMAR)
086012	SAMAR (WESTERN SAMAR)
086013	SAMAR (WESTERN SAMAR)
086014	SAMAR (WESTERN SAMAR)
086015	SAMAR (WESTERN SAMAR)
086016	SAMAR (WESTERN SAMAR)
086017	SAMAR (WESTERN SAMAR)
086018	SAMAR (WESTERN SAMAR)
086019	SAMAR (WESTERN SAMAR)
086020	SAMAR (WESTERN SAMAR)
086021	SAMAR (WESTERN SAMAR)
086022	SAMAR (WESTERN SAMAR)
086023	SAMAR (WESTERN SAMAR)
086024	SAMAR (WESTERN SAMAR)
086025	SAMAR (WESTERN SAMAR)
086026	SAMAR (WESTERN SAMAR)
0864	REGION VIII (EASTERN VISAYAS)
086401	SOUTHERN LEYTE
086402	SOUTHERN LEYTE
086403	SOUTHERN LEYTE
086404	SOUTHERN LEYTE
086405	SOUTHERN LEYTE
086406	SOUTHERN LEYTE
086407	SOUTHERN LEYTE
086408	SOUTHERN LEYTE
086409	SOUTHERN LEYTE
086410	SOUTHERN LEYTE
086411	SOUTHERN LEYTE
086412	SOUTHERN LEYTE
086413	SOUTHERN LEYTE
086414	SOUTHERN LEYTE
086415	SOUTHERN LEYTE
086416	SOUTHERN LEYTE
086417	SOUTHERN LEYTE
086418	SOUTHERN LEYTE
086419	SOUTHERN LEYTE
0878	REGION VIII (EASTERN VISAYAS)
087801	BILIRAN
087802	BILIRAN
087803	BILIRAN
087804	BILIRAN
087805	BILIRAN
087806	BILIRAN
087807	BILIRAN
087808	BILIRAN
09	REGION 9
0972	REGION IX (ZAMBOANGA PENINSULA)
097201	ZAMBOANGA DEL NORTE
097202	ZAMBOANGA DEL NORTE
097203	ZAMBOANGA DEL NORTE
097204	ZAMBOANGA DEL NORTE
097205	ZAMBOANGA DEL NORTE
097206	ZAMBOANGA DEL NORTE
097207	ZAMBOANGA DEL NORTE
097208	ZAMBOANGA DEL NORTE
097209	ZAMBOANGA DEL NORTE
097210	ZAMBOANGA DEL NORTE
097211	ZAMBOANGA DEL NORTE
097212	ZAMBOANGA DEL NORTE
097213	ZAMBOANGA DEL NORTE
097214	ZAMBOANGA DEL NORTE
097215	ZAMBOANGA DEL NORTE
097216	ZAMBOANGA DEL NORTE
097217	ZAMBOANGA DEL NORTE
097218	ZAMBOANGA DEL NORTE
097219	ZAMBOANGA DEL NORTE
097220	ZAMBOANGA DEL NORTE
097221	ZAMBOANGA DEL NORTE
097222	ZAMBOANGA DEL NORTE
097223	ZAMBOANGA DEL NORTE
097224	ZAMBOANGA DEL NORTE
097225	ZAMBOANGA DEL NORTE
097226	ZAMBOANGA DEL NORTE
097227	ZAMBOANGA DEL NORTE
0973	REGION IX (ZAMBOANGA PENINSULA)
097302	ZAMBOANGA DEL SUR
097303	ZAMBOANGA DEL SUR
097305	ZAMBOANGA DEL SUR
097306	ZAMBOANGA DEL SUR
097307	ZAMBOANGA DEL SUR
097308	ZAMBOANGA DEL SUR
097311	ZAMBOANGA DEL SUR
097312	ZAMBOANGA DEL SUR
097313	ZAMBOANGA DEL SUR
097315	ZAMBOANGA DEL SUR
097317	ZAMBOANGA DEL SUR
097318	ZAMBOANGA DEL SUR
097319	ZAMBOANGA DEL SUR
097322	ZAMBOANGA DEL SUR
097323	ZAMBOANGA DEL SUR
097324	ZAMBOANGA DEL SUR
097325	ZAMBOANGA DEL SUR
097327	ZAMBOANGA DEL SUR
097328	ZAMBOANGA DEL SUR
097330	ZAMBOANGA DEL SUR
097332	ZAMBOANGA DEL SUR
097333	ZAMBOANGA DEL SUR
097337	ZAMBOANGA DEL SUR
097338	ZAMBOANGA DEL SUR
097340	ZAMBOANGA DEL SUR
097341	ZAMBOANGA DEL SUR
097343	ZAMBOANGA DEL SUR
097344	ZAMBOANGA DEL SUR
0983	REGION IX (ZAMBOANGA PENINSULA)
098301	ZAMBOANGA SIBUGAY
098302	ZAMBOANGA SIBUGAY
098303	ZAMBOANGA SIBUGAY
098304	ZAMBOANGA SIBUGAY
098305	ZAMBOANGA SIBUGAY
098306	ZAMBOANGA SIBUGAY
098307	ZAMBOANGA SIBUGAY
098308	ZAMBOANGA SIBUGAY
098309	ZAMBOANGA SIBUGAY
098310	ZAMBOANGA SIBUGAY
098311	ZAMBOANGA SIBUGAY
098312	ZAMBOANGA SIBUGAY
098313	ZAMBOANGA SIBUGAY
098314	ZAMBOANGA SIBUGAY
098315	ZAMBOANGA SIBUGAY
098316	ZAMBOANGA SIBUGAY
0997	REGION IX (ZAMBOANGA PENINSULA)
099701	CITY OF ISABELA (NOT A PROVINCE)
10	REGION 10
1013	REGION X (NORTHERN MINDANAO)
101301	BUKIDNON
101302	BUKIDNON
101303	BUKIDNON
101304	BUKIDNON
101305	BUKIDNON
101306	BUKIDNON
101307	BUKIDNON
101308	BUKIDNON
101309	BUKIDNON
101310	BUKIDNON
